Txhash,Blockno,UnixTimestamp,DateTime,From,To,TxnFee(ETH),TxnFee(USD),Status,ErrCode,Method
0x39b8df7a60681b5530d6c1e24031856e1903c1923b914bd2c31ffb9a2b6d76cb,75793934,1677006620,2/21/23 19:10,0x54de9f4260a4f028665f4138582e29e1fa4fb427,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190321,0.297943597,,,Claim
0x9a1227a9cb11bad2bc7aac63c31587616aee8ee652efceed790ea0031b36c3b1,75793943,1677006620,2/21/23 19:10,0x3da0b023110b73b50d1ac5eddf4d381102cb78b5,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0x651a4aac259d85758194fd3191df852e0813df2d1194e5e7a69b27e30009c9b5,75793948,1677006620,2/21/23 19:10,0x3e9c94870b662ea4a7f66f95d517866407ed7b2b,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x231a3431a700a8d81c784173f0c9649cdba2b4c006e575acd9cde7f8178b7975,75793959,1677006620,2/21/23 19:10,0xa7f58bfcc07f36ff333463cf8878d393b41cdc28,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x75edab14192daceac1da7b058ad024c9079cc1303ba4db175c7e4dc421cdada2,75793967,1677006635,2/21/23 19:10,0xba2dc20329b21370b91e1306b1c0b4c0ff9adbd5,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x839fb4856f7612b859b7d40fb7008cbc6e0291f3ccf84d82718760719360ae80,75793971,1677006635,2/21/23 19:10,0x339ff09680b65fcd81d38a11be4e75f34c8966fc,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0xed38f075520948b0bda0676d3088faeee927bfa65fa0c667d24e100d3a2c1475,75793974,1677006635,2/21/23 19:10,0x81eb31f04020cba1fe65a072af64fcac3c119c2d,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x84f52ea4667a8b538148d55badcbb2e8a63416ba9d9805432676326abfd89984,75793985,1677006635,2/21/23 19:10,0x525320d8712aeab3f3fc6195102abd477ad998ff,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x92c448608bcd23c4a220450167e17c62d5fea3d955fb9b29aa0862a72c5f7c8f,75793996,1677006635,2/21/23 19:10,0xa2a12f83e8b1c4be80e4acc4525e7de8fdbcf59f,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x9bf3a8034dd58d688480a3484daef3a143d6d51ca93fee749123d03d235f9efa,75793999,1677006635,2/21/23 19:10,0xc92ea4a574f8d61567240ae5260f8be27bef2c6b,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0xd9aa8a390f1e1c4c8197817615c5acf00458fba01988559bbf3f7f62496e5289,75794003,1677006635,2/21/23 19:10,0x736ed70a9059978a9c7733cd65e780f0c7bd162c,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191482,0.29976075,,,Claim
0xe1a1b944f8a8ac9e795b6c412b72ceaf5da28ba8eaba0725b2a4fd8c018144b1,75794005,1677006635,2/21/23 19:10,0x6e952740f98c95c765da572f6c9e8d03f420b6c8,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x91c07ee42a79bcf61b5c195317bbcf3e5d23a2b2475b26289cb9a8766c48279d,75794009,1677006635,2/21/23 19:10,0xff98e37c6071f6681fd1fd7f7868f83b918a5c72,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190756,0.298625048,,,Claim
0x234614f62d3dba4a3c5647c0672db8cf4f4ef67288304400d9b530e64b47fbf9,75794014,1677006650,2/21/23 19:10,0x78102fd8cb004da75f364c5ae2f5f5c0c5d1045c,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000190321,0.297943597,,,Claim
0x22571df06dd46217a1915017c544d1075004de2a53587be5e3eb55b6e5b44462,75794018,1677006650,2/21/23 19:10,0x7fd303c53831f4a555bf419614cb0bab305c358c,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191337,0.299533625,,,Claim
0xa38e96bfd172de75c2de493be26f6de2ef0634dde66440bedc2d3aee235db6c1,75794019,1677006650,2/21/23 19:10,0x5c72b98aa0c0fee089e7bf4019c509d880e4199b,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000191917,0.300442201,,,Claim
0x789fb088c06942088f64b6b9f0fcd52fa6bd35b9e0f2da41af72a0c60f9e5442,75794022,1677006650,2/21/23 19:10,0x38aefacbc2db32e0565d866b7cc6d52c6845e4be,0xfa1c8cd6b3a5ead9499b8d09f9747c4068f88f37,0.000189896,0.297277935,,,Claim
